group,mhc_class,Kd_M,pti_pae_raw
noncognate,I,,12.315037727355957
noncognate,I,,12.315037727355957
noncognate,I,,12.315037727355957
noncognate,I,,12.315037727355957
noncognate,II,,11.51084041595459
noncognate,I,,5.406613826751709
noncognate,I,,31.0
noncognate,I,,31.0
noncognate,I,,5.400399684906006
noncognate,I,,17.026399612426758
noncognate,I,,17.026399612426758
noncognate,I,,15.861905097961426
noncognate,I,,3.7818379402160645
noncognate,I,,3.7818379402160645
noncognate,I,,15.49264907836914
noncognate,I,,15.49264907836914
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,5.798500061035156
noncognate,I,,12.031109809875488
noncognate,I,,12.031109809875488
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,14.787416458129883
noncognate,I,,4.080648422241211
noncognate,I,,4.080648422241211
noncognate,I,,10.694816589355469
noncognate,I,,20.36670684814453
noncognate,I,,20.36670684814453
noncognate,I,,11.127036094665527
noncognate,I,,11.127036094665527
noncognate,I,,2.5627317428588867
noncognate,I,,18.799489974975586
noncognate,I,,18.799489974975586
noncognate,I,,3.0413074493408203
noncognate,I,,15.91362190246582
noncognate,I,,22.549999237060547
noncognate,I,,22.549999237060547
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,28.016908645629883
noncognate,I,,14.272221565246582
noncognate,I,,14.272221565246582
noncognate,I,,5.521795272827148
noncognate,I,,5.521795272827148
noncognate,I,,3.3940889835357666
noncognate,I,,3.3940889835357666
noncognate,II,,11.561333656311035
noncognate,I,,11.904838562011719
noncognate,I,,11.904838562011719
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,15.110888481140137
noncognate,I,,21.454578399658203
noncognate,I,,21.454578399658203
noncognate,I,,4.394402027130127
noncognate,I,,4.394402027130127
noncognate,I,,4.040683746337891
noncognate,I,,10.304320335388184
noncognate,I,,10.304320335388184
noncognate,I,,14.754166603088379
noncognate,I,,14.754166603088379
noncognate,I,,8.023760795593262
noncognate,I,,23.341318130493164
noncognate,I,,23.76822853088379
noncognate,I,,23.76822853088379
noncognate,I,,15.862702369689941
